# 주식(StockPage): STOCK_LIST_400 중 region US|JP, JP ETF 유니버스 티커 제외, retired 제외 — StockPage.jsx 와 동일
# 표시명은 DB 프로필 우선; 여기 display_hint 는 리스트·폴백 기준
# symbol	display_hint	region	index_tag	sector(list 원본)

## JP
6503.T	6503.T	JP	NIKKEI225	未分類
6504.T	6504.T	JP	NIKKEI225	未分類
6506.T	6506.T	JP	NIKKEI225	未分類
6532.T	6532.T	JP	NIKKEI225	未分類
6594.T	6594.T	JP	NIKKEI225	未分類
6645.T	6645.T	JP	NIKKEI225	未分類
6674.T	6674.T	JP	NIKKEI225	未分類
6701.T	6701.T	JP	NIKKEI225	未分類
6702.T	6702.T	JP	NIKKEI225	未分類
6723.T	6723.T	JP	NIKKEI225	未分類
6724.T	6724.T	JP	NIKKEI225	未分類
6752.T	6752.T	JP	NIKKEI225	未分類
6753.T	6753.T	JP	NIKKEI225	未分類
6758.T	6758.T	JP	NIKKEI225	未分類
6762.T	6762.T	JP	NIKKEI225	未分類
6770.T	6770.T	JP	NIKKEI225	未分類
6841.T	6841.T	JP	NIKKEI225	未分類
6857.T	6857.T	JP	NIKKEI225	未分類
6861.T	6861.T	JP	NIKKEI225	未分類
6902.T	6902.T	JP	NIKKEI225	未分類
6920.T	6920.T	JP	NIKKEI225	未分類
6952.T	6952.T	JP	NIKKEI225	未分類
6954.T	6954.T	JP	NIKKEI225	未分類
6971.T	6971.T	JP	NIKKEI225	未分類
6981.T	6981.T	JP	NIKKEI225	未分類
6988.T	6988.T	JP	NIKKEI225	未分類
7003.T	7003.T	JP	NIKKEI225	未分類
7004.T	7004.T	JP	NIKKEI225	未分類
7011.T	7011.T	JP	NIKKEI225	未分類
7012.T	7012.T	JP	NIKKEI225	未分類
7013.T	7013.T	JP	NIKKEI225	未分類
7186.T	7186.T	JP	NIKKEI225	未分類
7201.T	7201.T	JP	NIKKEI225	未分類
7202.T	7202.T	JP	NIKKEI225	未分類
7203.T	7203.T	JP	NIKKEI225	未分類
7211.T	7211.T	JP	NIKKEI225	未分類
7261.T	7261.T	JP	NIKKEI225	未分類
7267.T	7267.T	JP	NIKKEI225	未分類
7269.T	7269.T	JP	NIKKEI225	未分類
7270.T	7270.T	JP	NIKKEI225	未分類
7272.T	7272.T	JP	NIKKEI225	未分類
7309.T	7309.T	JP	NIKKEI225	未分類
7731.T	7731.T	JP	NIKKEI225	未分類
7733.T	7733.T	JP	NIKKEI225	未分類
7735.T	7735.T	JP	NIKKEI225	未分類
7741.T	7741.T	JP	NIKKEI225	未分類
7751.T	7751.T	JP	NIKKEI225	未分類
7762.T	7762.T	JP	NIKKEI225	未分類
7832.T	7832.T	JP	NIKKEI225	未分類
7911.T	7911.T	JP	NIKKEI225	未分類
7912.T	7912.T	JP	NIKKEI225	未分類
7914.T	7914.T	JP	NIKKEI225	未分類
7974.T	7974.T	JP	NIKKEI225	未分類
8001.T	8001.T	JP	NIKKEI225	未分類
8002.T	8002.T	JP	NIKKEI225	未分類
8015.T	8015.T	JP	NIKKEI225	未分類
8031.T	8031.T	JP	NIKKEI225	未分類
8035.T	8035.T	JP	NIKKEI225	未分類
8051.T	8051.T	JP	NIKKEI225	未分類
8053.T	8053.T	JP	NIKKEI225	未分類
8058.T	8058.T	JP	NIKKEI225	未分類
8233.T	8233.T	JP	NIKKEI225	未分類
8267.T	8267.T	JP	NIKKEI225	未分類
8304.T	8304.T	JP	NIKKEI225	未分類
8306.T	8306.T	JP	NIKKEI225	未分類
8308.T	8308.T	JP	NIKKEI225	未分類
8309.T	8309.T	JP	NIKKEI225	未分類
8316.T	8316.T	JP	NIKKEI225	未分類
8411.T	8411.T	JP	NIKKEI225	未分類
8591.T	8591.T	JP	NIKKEI225	未分類
8601.T	8601.T	JP	NIKKEI225	未分類
8604.T	8604.T	JP	NIKKEI225	未分類
8630.T	8630.T	JP	NIKKEI225	未分類
8725.T	8725.T	JP	NIKKEI225	未分類
8750.T	8750.T	JP	NIKKEI225	未分類
8766.T	8766.T	JP	NIKKEI225	未分類
8801.T	8801.T	JP	NIKKEI225	未分類
8802.T	8802.T	JP	NIKKEI225	未分類
8830.T	8830.T	JP	NIKKEI225	未分類
9001.T	9001.T	JP	NIKKEI225	未分類
9005.T	9005.T	JP	NIKKEI225	未分類
9007.T	9007.T	JP	NIKKEI225	未分類
9008.T	9008.T	JP	NIKKEI225	未分類
9009.T	9009.T	JP	NIKKEI225	未分類
9020.T	9020.T	JP	NIKKEI225	未分類
9021.T	9021.T	JP	NIKKEI225	未分類
9022.T	9022.T	JP	NIKKEI225	未分類
9064.T	9064.T	JP	NIKKEI225	未分類
9101.T	9101.T	JP	NIKKEI225	未分類
9104.T	9104.T	JP	NIKKEI225	未分類
9107.T	9107.T	JP	NIKKEI225	未分類
9201.T	9201.T	JP	NIKKEI225	未分類
9202.T	9202.T	JP	NIKKEI225	未分類
9301.T	9301.T	JP	NIKKEI225	未分類
9432.T	9432.T	JP	NIKKEI225	未分類
9433.T	9433.T	JP	NIKKEI225	未分類
9434.T	9434.T	JP	NIKKEI225	未分類
9501.T	9501.T	JP	NIKKEI225	未分類
9502.T	9502.T	JP	NIKKEI225	未分類
9503.T	9503.T	JP	NIKKEI225	未分類
9531.T	9531.T	JP	NIKKEI225	未分類
9532.T	9532.T	JP	NIKKEI225	未分類
9602.T	9602.T	JP	NIKKEI225	未分類
9735.T	9735.T	JP	NIKKEI225	未分類
9766.T	9766.T	JP	NIKKEI225	未分類
9983.T	9983.T	JP	NIKKEI225	未分類
9984.T	9984.T	JP	NIKKEI225	未分類

## US
A	A	US	SP500	未分類
AAPL	Apple	US	SP500	Capital Goods & Industrials
ABBV	AbbVie	US	SP500	未分類
ABNB	ABNB	US	SP500	未分類
ABT	Abbott	US	SP500	未分類
ACGL	ACGL	US	SP500	未分類
ACN	Accenture	US	SP500	未分類
ADBE	Adobe	US	SP500	未分類
ADI	Analog Devices	US	SP500	未分類
ADM	ADM	US	SP500	未分類
ADP	ADP	US	SP500	未分類
ADSK	ADSK	US	SP500	未分類
AEE	AEE	US	SP500	未分類
AEP	AEP	US	SP500	未分類
AES	AES	US	SP500	未分類
AFL	AFL	US	SP500	未分類
AIG	AIG	US	SP500	未分類
AIZ	AIZ	US	SP500	未分類
AJG	AJG	US	SP500	未分類
AKAM	AKAM	US	SP500	未分類
ALB	ALB	US	SP500	未分類
ALGN	ALGN	US	SP500	未分類
ALL	ALL	US	SP500	未分類
ALLE	ALLE	US	SP500	未分類
ALNY	ALNY	US	SP500	未分類
AMAT	AMAT	US	SP500	未分類
AMCR	AMCR	US	SP500	未分類
AMD	AMD	US	SP500	未分類
AME	AME	US	SP500	未分類
AMGN	Amgen	US	SP500	未分類
AMP	AMP	US	SP500	未分類
AMT	AMT	US	SP500	未分類
AMZN	Amazon	US	SP500	未分類
ANET	ANET	US	SP500	未分類
AON	AON	US	SP500	未分類
AOS	AOS	US	SP500	未分類
APA	APA	US	SP500	未分類
APD	APD	US	SP500	未分類
APH	APH	US	SP500	未分類
APTV	APTV	US	SP500	未分類
ARE	ARE	US	SP500	未分類
ASML	ASML	US	SP500	未分類
ATO	ATO	US	SP500	未分類
AVB	AVB	US	SP500	未分類
AVGO	Broadcom	US	SP500	未分類
AVY	AVY	US	SP500	未分類
AWK	AWK	US	SP500	未分類
AXON	AXON	US	SP500	未分類
AXP	American Express	US	SP500	未分類
AZN	AstraZeneca	US	SP500	未分類
AZO	AZO	US	SP500	未分類
BA	Boeing	US	SP500	未分類
BAC	Bank of America	US	SP500	未分類
BALL	BALL	US	SP500	未分類
BAX	BAX	US	SP500	未分類
BBY	BBY	US	SP500	未分類
BDX	Becton Dickinson	US	SP500	未分類
BEN	BEN	US	SP500	未分類
BF-B	BF-B	US	SP500	未分類
BG	BG	US	SP500	未分類
BIIB	BIIB	US	SP500	未分類
BIO	BIO	US	SP500	未分類
BKNG	Booking Holdings	US	SP500	未分類
BKR	BKR	US	SP500	未分類
BLDR	BLDR	US	SP500	未分類
BLK	BlackRock	US	SP500	未分類
BMY	BMY	US	SP500	未分類
BR	BR	US	SP500	未分類
BRK.B	Berkshire Hathaway	US	SP500	未分類
BRO	BRO	US	SP500	未分類
BSX	BSX	US	SP500	未分類
BWA	BWA	US	SP500	未分類
BX	BX	US	SP500	未分類
C	Citigroup	US	SP500	未分類
CAG	Conagra Brands	US	SP500	未分類
CAH	CAH	US	SP500	未分類
CARR	CARR	US	SP500	未分類
CAT	Caterpillar	US	SP500	未分類
CB	CB	US	SP500	未分類
CBOE	CBOE	US	SP500	未分類
CBRE	CBRE	US	SP500	未分類
CCI	CCI	US	SP500	未分類
CCL	CCL	US	SP500	未分類
CDNS	CDNS	US	SP500	未分類
CDW	CDW	US	SP500	未分類
CE	Celanese	US	SP500	未分類
CEG	CEG	US	SP500	未分類
CF	CF Industries	US	SP500	未分類
CFG	CFG	US	SP500	未分類
CHD	CHD	US	SP500	未分類
CHRW	C.H.ロビンソン・ワールドワイド / C.H. Robinson Worldwide	US	SP500	未分類
CHTR	CHTR	US	SP500	未分類
CI	Cigna	US	SP500	未分類
CINF	CINF	US	SP500	未分類
CL	CL	US	SP500	未分類
CLX	CLX	US	SP500	未分類
CMCSA	CMCSA	US	SP500	未分類
CME	CME	US	SP500	未分類
CMG	CMG	US	SP500	未分類
CMI	CMI	US	SP500	未分類
CMS	CMS	US	SP500	未分類
CNC	Centene	US	SP500	未分類
CNX	CNX	US	SP500	未分類
COF	COF	US	SP500	未分類
COO	COO	US	SP500	未分類
COP	ConocoPhillips	US	SP500	未分類
COR	COR	US	SP500	未分類
COST	Costco	US	SP500	未分類
CPAY	CPAY	US	SP500	未分類
CPB	Campbell Soup	US	SP500	未分類
CPRT	CPRT	US	SP500	未分類
CPT	CPT	US	SP500	未分類
CRL	CRL	US	SP500	未分類
CRM	Salesforce	US	SP500	未分類
CRWD	CRWD	US	SP500	未分類
CSCO	Cisco	US	SP500	未分類
CSGP	CSGP	US	SP500	未分類
CSX	CSX	US	SP500	未分類
CTAS	CTAS	US	SP500	未分類
CTRA	CTRA	US	SP500	未分類
CTSH	CTSH	US	SP500	未分類
CTVA	CTVA	US	SP500	未分類
CVS	CVS Health	US	SP500	未分類
CVX	Chevron	US	SP500	未分類
CZR	CZR	US	SP500	未分類
D	D	US	SP500	未分類
DAL	DAL	US	SP500	未分類
DASH	DASH	US	SP500	未分類
DAY	DAY	US	SP500	未分類
DD	DD	US	SP500	未分類
DDOG	DDOG	US	SP500	未分類
DE	Deere	US	SP500	未分類
DECK	DECK	US	SP500	未分類
DG	DG	US	SP500	未分類
DGX	DGX	US	SP500	未分類
DHI	DHI	US	SP500	未分類
DHR	Danaher	US	SP500	未分類
DIS	DIS	US	SP500	未分類
DLR	DLR	US	SP500	未分類
DLTR	DLTR	US	SP500	未分類
DOC	DOC	US	SP500	未分類
DOV	DOV	US	SP500	未分類
DOW	DOW	US	SP500	未分類
DPZ	DPZ	US	SP500	未分類
DRI	DRI	US	SP500	未分類
DTE	DTE	US	SP500	未分類
DUK	DUK	US	SP500	未分類
DVA	DVA	US	SP500	未分類
DVN	DVN	US	SP500	未分類
DXCM	DXCM	US	SP500	未分類
EA	EA	US	SP500	未分類
EBAY	EBAY	US	SP500	未分類
ECL	ECL	US	SP500	未分類
ED	ED	US	SP500	未分類
EFX	EFX	US	SP500	未分類
EG	EG	US	SP500	未分類
EIX	EIX	US	SP500	未分類
EL	EL	US	SP500	未分類
ELV	Elevance Health	US	SP500	未分類
EMN	EMN	US	SP500	未分類
EMR	EMR	US	SP500	未分類
ENPH	ENPH	US	SP500	未分類
EOG	EOG Resources	US	SP500	未分類
EPAM	EPAM	US	SP500	未分類
EQIX	EQIX	US	SP500	未分類
EQR	EQR	US	SP500	未分類
EQT	EQT	US	SP500	未分類
ES	ES	US	SP500	未分類
ESS	ESS	US	SP500	未分類
ETN	ETN	US	SP500	未分類
ETR	ETR	US	SP500	未分類
ETSY	ETSY	US	SP500	未分類
EVRG	EVRG	US	SP500	未分類
EW	EW	US	SP500	未分類
EXC	EXC	US	SP500	未分類
EXPD	EXPD	US	SP500	未分類
EXPE	EXPE	US	SP500	未分類
EXR	EXR	US	SP500	未分類
F	F	US	SP500	未分類
FANG	FANG	US	SP500	未分類
FAST	FAST	US	SP500	未分類
FCX	FCX	US	SP500	未分類
FDS	FDS	US	SP500	未分類
FDX	FDX	US	SP500	未分類
FE	FE	US	SP500	未分類
FFIV	FFIV	US	SP500	未分類
FICO	Fair Isaac	US	SP500	未分類
FIS	FIS	US	SP500	未分類
FITB	FITB	US	SP500	未分類
FOX	FOX	US	SP500	未分類
FOXA	FOXA	US	SP500	未分類
FRT	FRT	US	SP500	未分類
FSLR	FSLR	US	SP500	未分類
FTNT	FTNT	US	SP500	未分類
FTV	FTV	US	SP500	未分類
GD	GD	US	SP500	未分類
GE	General Electric	US	SP500	未分類
GEHC	GEHC	US	SP500	未分類
GEN	GEN	US	SP500	未分類
GEV	GE Vernova	US	SP500	未分類
GFS	GFS	US	SP500	未分類
GILD	Gilead	US	SP500	未分類
GIS	GIS	US	SP500	未分類
GLW	GLW	US	SP500	未分類
GM	GM	US	SP500	未分類
GNRC	GNRC	US	SP500	未分類
GOOG	Alphabet	US	SP500	未分類
GOOGL	Alphabet	US	SP500	未分類
GPC	GPC	US	SP500	未分類
GRMN	GRMN	US	SP500	未分類
GS	Goldman Sachs	US	SP500	未分類
GWW	GWW	US	SP500	未分類
HAL	HAL	US	SP500	未分類
HAS	HAS	US	SP500	未分類
HBAN	HBAN	US	SP500	未分類
HCA	HCA	US	SP500	未分類
HD	Home Depot	US	SP500	未分類
HIG	HIG	US	SP500	未分類
HII	HII	US	SP500	未分類
HLT	HLT	US	SP500	未分類
HOLX	HOLX	US	SP500	未分類
HON	Honeywell	US	SP500	未分類
HPE	HPE	US	SP500	未分類
HPQ	HPQ	US	SP500	未分類
HRL	HRL	US	SP500	未分類
HSIC	HSIC	US	SP500	未分類
HST	HST	US	SP500	未分類
HSY	HSY	US	SP500	未分類
HUBB	HUBB	US	SP500	未分類
HUM	HUM	US	SP500	未分類
HWM	HWM	US	SP500	未分類
IBM	IBM	US	SP500	未分類
ICE	ICE	US	SP500	未分類
IDXX	IDXX	US	SP500	未分類
IEX	IEX	US	SP500	未分類
IFF	IFF	US	SP500	未分類
ILMN	ILMN	US	SP500	未分類
INCY	INCY	US	SP500	未分類
INTC	Intel	US	SP500	未分類
INTU	Intuit	US	SP500	未分類
INVH	INVH	US	SP500	未分類
IP	IP	US	SP500	未分類
IQV	IQV	US	SP500	未分類
IR	IR	US	SP500	未分類
IRM	IRM	US	SP500	未分類
ISRG	Intuitive Surgical	US	SP500	未分類
IT	IT	US	SP500	未分類
ITW	Illinois Tool Works	US	SP500	未分類
IVZ	IVZ	US	SP500	未分類
J	J	US	SP500	未分類
JBHT	JBHT	US	SP500	未分類
JBL	JBL	US	SP500	未分類
JCI	JCI	US	SP500	未分類
JD	JD	US	SP500	未分類
JKHY	JKHY	US	SP500	未分類
JNJ	Johnson & Johnson	US	SP500	未分類
JPM	JPMorgan Chase	US	SP500	未分類
KDP	KDP	US	SP500	未分類
KEY	KEY	US	SP500	未分類
KEYS	KEYS	US	SP500	未分類
KHC	KHC	US	SP500	未分類
KIM	KIM	US	SP500	未分類
KLAC	KLA	US	SP500	未分類
KMB	KMB	US	SP500	未分類
KMI	KMI	US	SP500	未分類
KMX	KMX	US	SP500	未分類
KO	Coca-Cola	US	SP500	未分類
KR	KR	US	SP500	未分類
KVUE	KVUE	US	SP500	未分類
L	L	US	SP500	未分類
LCID	LCID	US	SP500	未分類
LDOS	LDOS	US	SP500	未分類
LEN	LEN	US	SP500	未分類
LH	LH	US	SP500	未分類
LHX	LHX	US	SP500	未分類
LIN	Linde	US	SP500	未分類
LKQ	LKQ	US	SP500	未分類
LLY	Eli Lilly	US	SP500	未分類
LMT	Lockheed Martin	US	SP500	未分類
LNC	LNC	US	SP500	未分類
LNT	LNT	US	SP500	未分類
LOW	Lowe's	US	SP500	未分類
LRCX	LRCX	US	SP500	未分類
LULU	LULU	US	SP500	未分類
LUV	LUV	US	SP500	未分類
LVS	LVS	US	SP500	未分類
LW	LW	US	SP500	未分類
LYB	LYB	US	SP500	未分類
LYV	LYV	US	SP500	未分類
MA	Mastercard	US	SP500	未分類
MAA	MAA	US	SP500	未分類
MAR	MAR	US	SP500	未分類
MAS	MAS	US	SP500	未分類
MCD	McDonald's	US	SP500	未分類
MCHP	MCHP	US	SP500	未分類
MCK	McKesson	US	SP500	未分類
MCO	MCO	US	SP500	未分類
MDB	MDB	US	SP500	未分類
MDLZ	Mondelez	US	SP500	未分類
MDT	MDT	US	SP500	未分類
MELI	MELI	US	SP500	未分類
MET	MET	US	SP500	未分類
META	Meta	US	SP500	未分類
MGM	MGM	US	SP500	未分類
MHK	MHK	US	SP500	未分類
MKC	MKC	US	SP500	未分類
MKTX	MKTX	US	SP500	未分類
MLM	MLM	US	SP500	未分類
MMC	Marsh McLennan	US	SP500	未分類
MMM	MMM	US	SP500	未分類
MNST	MNST	US	SP500	未分類
MO	Altria	US	SP500	未分類
MOH	MOH	US	SP500	未分類
MOS	Mosaic	US	SP500	未分類
MPC	MPC	US	SP500	未分類
MPWR	MPWR	US	SP500	未分類
MRK	Merck	US	SP500	未分類
MRNA	MRNA	US	SP500	未分類
MRVL	MRVL	US	SP500	未分類
MS	Morgan Stanley	US	SP500	未分類
MSCI	MSCI	US	SP500	未分類
MSFT	Microsoft	US	SP500	未分類
MSI	MSI	US	SP500	未分類
MTB	MTB	US	SP500	未分類
MTCH	MTCH	US	SP500	未分類
MTD	MTD	US	SP500	未分類
MU	Micron	US	SP500	未分類
NCLH	NCLH	US	SP500	未分類
NDAQ	NDAQ	US	SP500	未分類
NDSN	NDSN	US	SP500	未分類
NEE	NextEra Energy	US	SP500	未分類
NEM	NEM	US	SP500	未分類
NFLX	Netflix	US	SP500	未分類
NI	NI	US	SP500	未分類
NKE	NKE	US	SP500	未分類
NOC	Northrop Grumman	US	SP500	未分類
NOW	ServiceNow	US	SP500	未分類
NRG	NRG	US	SP500	未分類
NSC	NSC	US	SP500	未分類
NTAP	NTAP	US	SP500	未分類
