symbol,name,exchange,currency,country,category,subcategory,isin,asset_type
UCB.XBRU,,XBRU,,,,,,stock
UCG.XMIL,,XMIL,,,,,,stock
ULVR.XLON,,XLON,,,,,,stock
UPM.XHEL,,XHEL,,,,,,stock
UTG.XLON,,XLON,,,,,,stock
UU.XLON,,XLON,,,,,,stock
VIE.XPAR,,XPAR,,,,,,stock
VIV.XPAR,,XPAR,,,,,,stock
VWS.XCSE,,XCSE,,,,,,stock
WEIR.XLON,,XLON,,,,,,stock
WIZZ.XLON,,XLON,,,,,,stock
WPP.XLON,,XLON,,,,,,stock
XLB,,ARCX,,,,,,stock
XLI,,ARCX,,,,,,stock
XLP,,ARCX,,,,,,stock
ZURN.XSWX,,XSWX,,,,,,stock
